Datum	F	G	N	S	V
2020-11-17	Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Verkehr|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Bibliothek|Darstellende Künste|Kulturpolitik|Kunst|Museum|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Arbeitslosenversicherung|Gesundheit|soziale Sicherheit|Strafrecht|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Bildung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Religion|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|öffentliche Sicherheit|Religion|Staatsangehöriger|Strafrecht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Sport|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Land- und Forstwirtschaft, Fischerei|Forschung und geistiges Eigentum|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Öffentliche Finanzen und Haushaltspolitik|Religion|Vereinsleben|Versammlungsfreiheit|Gerichtswesen|öffentliche Verwaltung|öffentlicher Dienst|Altersversorgungssystem|Hochschulausbildung|Land- und Forstwirtschaft, Fischerei|Umwelt	Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege	Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Gesundheit|Organisation des Unterrichtswesens|Luftverkehr|Verteidigung|ausländischer Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|öffentliche Sicherheit|Bürgerliches Recht|Gesundheit|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Gerichtswesen|Informatik|Information und Informationsverarbeitung|Luftverkehr|Menschenrechte|Flüchtling|junger Mensch|Arbeitsrecht|Gesundheit|Bildung|Organisation des Unterrichtswesens|Steuerwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen|Altersversorgungssystem|Frau|Gleichbehandlung|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Beschäftigung und Arbeitsbedingungen|junger Mensch|Gesundheit|Informatik|Information und Informationsverarbeitung|Hochschulausbildung|vorschulische Erziehung|Internationale Beziehungen|Wirtschaft|Hochschulausbildung|Gesundheit|Steuerwesen|Zivilschutz|Exekutive|Gesundheit|Presse|Internationale Beziehungen|Internationale Beziehungen|Gesundheit|Tourismus|Wirtschaft|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Internet|Presse|Steuerwesen|Gesundheit|Kulturpolitik|Kunst|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Altersversorgungssystem|Parlamentsdebatte|Internet|Presse|Steuerwesen|Europäische Union|Internationale Beziehungen|Menschenrechte|Land- und Forstwirtschaft, Fischerei|Altersversorgungssystem|Familie|Frau|Gleichbehandlung|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Einkommen|Gerichtswesen|Verwaltung und Entlohnung des Personals|Gesundheit|Kulturpolitik|Kunst|Europäische Union|Internationale Beziehungen|Vereinte Nationen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Altersversorgungssystem|junger Mensch|Vereinte Nationen|Gesundheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Europäische Union|Gliedstaat|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Hochschulausbildung|Sozialpolitik|Wohnungspolitik|Familie|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Zivilschutz|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Verkehr|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege
2020-11-18	Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel|Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel|Gesundheit|Tourismus|Finanzwesen|Gesundheit|Vereinsleben|Versammlungsfreiheit|Gesundheit|Tourismus|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb	Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Sport|Gesundheit|Sport	Gesundheit	Telekommunikation|Bürgerliches Recht|Land- und Forstwirtschaft, Fischerei|Bildung|Gesundheit|Organisation des Unterrichtswesens|Luftverkehr|Versicherungswesen|Land- und Forstwirtschaft, Fischerei|Vereinsleben|Versammlungsfreiheit|Gesundheit|Sekundarstufe|Gesundheit|Tourismus	Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Sport|Gesundheit|Sport
2020-11-19	Gesundheit|Wasser|Wasserbewirtschaftung|Forschung und geistiges Eigentum|Wissenschaften|Bildung|Gesundheit|Organisation des Unterrichtswesens|Hochschulausbildung|Gesundheit|Sport|Steuerwesen|Gesundheit|Wasser|Wasserbewirtschaftung|Frau|Gleichbehandlung|Sport			Familie|Gesundheit|Land- und Forstwirtschaft, Fischerei|Frau|Gleichbehandlung|Gesundheit|soziale Sicherheit|Behinderter|Europäische Union|junger Mensch|Altersversorgungssystem|Gesundheit|Zivilschutz|Arbeitslosenversicherung|Gesundheit|Gesundheit|soziale Sicherheit|Elektrizitätsindustrie|Umwelt|Frau|Gesundheit|Gleichbehandlung|Frau|Gesundheit|Gleichbehandlung|Familie|Gesundheit|Gerichtswesen	
2020-11-20	Frau|Gleichbehandlung|Religion|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Sicherheit|Verfassung|Gesundheit|Zivilschutz|Gesundheit|Wirtschaft|Gesundheit|Zivilschutz|Hochschulausbildung|Religion|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Informatik|Information und Informationsverarbeitung|Menschenrechte|öffentliche Sicherheit|Gliedstaat|Schienentransport|Bildung|Gesundheit|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Bildung|Gesundheit|Organisation des Unterrichtswesens|Land- und Forstwirtschaft, Fischerei|Strafrecht|Familie|junger Mensch|Bildung|Gesundheit|Organisation des Unterrichtswesens|Verteidigung|Gesundheit|Zivilschutz|Gesundheit|Wirtschaft|Gliedstaat|partizipative Demokratie|Gesundheit|Kulturpolitik|Kunst|Museum|vorschulische Erziehung|Gesundheit|Wirtschaft|Haushaltskontrolle|Versicherungswesen|Bildung|Gesundheit|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|Familie|Familienleistungsausgleich|junger Mensch|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Frau|Gesundheit|Gleichbehandlung	Menschenrechte|Vereinte Nationen|Gesundheit|Kulturpolitik|Kunst|soziale Sicherheit|Gesundheit|Steuerwesen|Verkehr|Gesundheit|Land- und Forstwirtschaft, Fischerei|Gesundheit|Zivildienst|Gesundheit|Presse|Gesundheit|öffentliches Eigentum|Zivilschutz|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verfassung|Gesundheit|Zivilschutz|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Strafrecht|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Arbeitsrecht|Familie|Buchprüfung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|ausländischer Staatsangehöriger|Gesundheit|öffentliche Sicherheit|Staatsangehöriger|Gesundheit|öffentliche Sicherheit|Verwaltungskontrolle|Finanzwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Familie|Statistik	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Sicherheit|Verfassung|Religion|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Verfassung|Gliedstaat|partizipative Demokratie|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Gerichtswesen|Strafrecht|Gerichtswesen|Steuerwesen	Internationale Beziehungen|Menschenrechte|Europäische Union|Internationale Beziehungen|Völkerrecht|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|öffentliche Sicherheit|Verfassung|Internationale Beziehungen|Politik der Zusammenarbeit|Gesundheit|Wirtschaft|Frau|Gleichbehandlung|Internationale Beziehungen|Menschenrechte|Betreuung von Pflegebedürftigen|Krankenpflege|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Straßenverkehr|Gesundheit|Hochschulausbildung|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Abfall|Abfallwirtschaft|Bildung|Organisation des Unterrichtswesens|Umwelt|Gesundheit|Hochschulausbildung|Wohnungspolitik|Forschung und geistiges Eigentum|junger Mensch|Wissenschaften|Bildung|Gesundheit|Organisation des Unterrichtswesens|Altersversorgungssystem|Familie|Gesundheit|soziale Sicherheit|Gliedstaat|partizipative Demokratie|Arbeitsrecht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Frau|Gesundheit|Gleichbehandlung|Betreuung von Pflegebedürftigen|Krankenpflege|Forschung und geistiges Eigentum|junger Mensch|Wissenschaften	Menschenrechte|Vereinte Nationen|Gesundheit|Kulturpolitik|Kunst|soziale Sicherheit|Gesundheit|Steuerwesen|Verkehr|Gesundheit|Land- und Forstwirtschaft, Fischerei|Gesundheit|Zivildienst|Gesundheit|Presse|Gesundheit|öffentliches Eigentum|Zivilschutz|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verfassung|Gesundheit|Zivilschutz|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Strafrecht|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Arbeitsrecht|Familie|Buchprüfung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|ausländischer Staatsangehöriger|Gesundheit|öffentliche Sicherheit|Staatsangehöriger|Gesundheit|öffentliche Sicherheit|Verwaltungskontrolle|Finanzwesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Familie|Statistik
2020-11-24		Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel			Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel
2020-11-25		Gesundheit|Vereinte Nationen	Gesundheit|Vereinte Nationen	Gesundheit|Vereinte Nationen	Gesundheit|Vereinte Nationen
2020-11-26	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Presse	Abfall|Abfallwirtschaft|Gesundheit|Gesundheit|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Wirtschaft	Gesundheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit	Abfall|Abfallwirtschaft|Gesundheit|Gesundheit|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Gesundheit|Öffentliche Finanzen und Haushaltspolitik
2020-11-27		Frau|Gleichbehandlung|Kulturpolitik|Kunst	Frau|Gleichbehandlung|Kulturpolitik|Kunst	Frau|Gleichbehandlung|Kulturpolitik|Kunst	Frau|Gleichbehandlung|Kulturpolitik|Kunst
2020-12-02		Sekundarstufe|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Umwelt	Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens|Umwelt	Sekundarstufe|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Umwelt
2020-12-10	Flüchtling|Flüchtling|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|namentliche Abstimmung|Gliedstaat|Handel|Industrie|Unternehmen und Wettbewerb|Straßenverkehr	Gesundheit|Steuerwesen|Straßenverkehr	Gesundheit|Politik der Zusammenarbeit|Wirtschaft|Gesundheit|junger Mensch|Ausweis|Internationale Beziehungen|Gesundheit|Informatik|Information und Informationsverarbeitung|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Presse|Energie|Familie|Frau|Gleichbehandlung|Gesundheit|Politik der Zusammenarbeit|Preis|soziale Sicherheit|Gesundheit|soziale Sicherheit|Elektrizitätsindustrie|Energie|Land- und Forstwirtschaft, Fischerei|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|Exekutive|Presse|Straßenverkehr	Gesundheit|Menschenrechte|Gliedstaat|Luftverkehr|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|Tourismus|Bildung|Organisation des Unterrichtswesens|Finanzwesen|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|Wissenschaften|öffentliche Sicherheit|Altersversorgungssystem|Gesundheit|Glücksspiel|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Wirtschaft|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Internet|junger Mensch|Strafrecht|Straßenverkehr	Gesundheit|Steuerwesen|Straßenverkehr
2020-12-11	direkt gewählte Kammer|Einkommen|Inkompatibilität|Verfassung|Verwaltung und Entlohnung des Personals|ausländischer Staatsangehöriger|Wohnungspolitik|Strafrecht|Wohnungspolitik|Tourismus|Wohnungspolitik|Gesundheit|Tourismus|Wohnungspolitik|Strafrecht|Wohnungspolitik|Wohnungspolitik|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Finanzwesen|Gesundheit|Tourismus|Presse|Verfassung|Flüchtling|Wohnungspolitik|Familie|Gesundheit|junger Mensch|Bergbau|Handel|Industrie|Menschenrechte|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Agrarerzeugnisse und Lebensmittel|Europäische Union|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Sport|Steuerwesen	Völkerrecht|Zivilschutz|Arbeitsrecht|Gesundheit|Internationale Beziehungen|direkt gewählte Kammer|Einkommen|Inkompatibilität|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Finanzwesen|Steuerwesen|Verfassung	direkt gewählte Kammer|Einkommen|Inkompatibilität|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Internationale Beziehungen|Bergbau|Europäische Union|Handel|Industrie|Menschenrechte|Unternehmen und Wettbewerb|Gesundheit|Zivildienst|Agrarerzeugnisse und Lebensmittel|Europäische Union|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Betreuung von Pflegebedürftigen|Bildung|Gesundheit|Krankenpflege|Organisation des Unterrichtswesens|Exekutive|Geschäftsordnung des Parlaments|Gesundheit|Internet|Presse|Zivilschutz	Gesundheit|Internationale Beziehungen|Gesundheit|Arbeitsrecht|Frau|Gesundheit|Gleichbehandlung|Betreuung von Pflegebedürftigen|Krankenpflege|Land- und Forstwirtschaft, Fischerei|Altersversorgungssystem|Arbeitsrecht|Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Arbeitsrecht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Betreuung von Pflegebedürftigen|Krankenpflege|direkt gewählte Kammer|Einkommen|Inkompatibilität|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Gerichtswesen|Opferhilfe|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Gesundheit|Gliedstaat|Einkommen|öffentliche Sicherheit|Verwaltung und Entlohnung des Personals|Bergbau|Europäische Union|Handel|Industrie|Menschenrechte|Unternehmen und Wettbewerb|Europäische Union|Land- und Forstwirtschaft, Fischerei|Umwelt|Arbeitslosenversicherung|Gesundheit|Gesundheit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Agrarerzeugnisse und Lebensmittel|Europäische Union|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Exekutive|Geschäftsordnung des Parlaments|Gesundheit|Internet|Presse|Zivilschutz	Völkerrecht|Zivilschutz|Arbeitsrecht|Gesundheit|Internationale Beziehungen|direkt gewählte Kammer|Einkommen|Inkompatibilität|Verfassung|Verwaltung und Entlohnung des Personals|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|parlamentarischer Ausschuss|Finanzwesen|Steuerwesen|Verfassung
2020-12-21	Einkommen|Gesundheit|Verwaltung und Entlohnung des Personals|Religion|Tiermedizin|Tierschutz|Gesundheit|Hochschulausbildung|direkt gewählte Kammer|Einkommen|Gesundheit|Verfassung|Verwaltung und Entlohnung des Personals|Exekutive|Gesundheit|Misstrauensantrag	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Gesundheit|namentliche Abstimmung|Zivilschutz|Ausweis|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit	Exekutive|Presse|Flüchtling|junger Mensch	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Arbeitslosenversicherung|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Flüchtling|Gliedstaat|junger Mensch	direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Gesundheit|namentliche Abstimmung|Zivilschutz|Ausweis|Gesundheit|Informatik|Information und Informationsverarbeitung|soziale Sicherheit
2021-01-13	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Exekutive|Gesundheit|Gesundheit|Politik der Zusammenarbeit|öffentliche Verwaltung|öffentlicher Dienst	Gesundheit|Land- und Forstwirtschaft, Fischerei|Umwelt|Forschung und geistiges Eigentum|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Gesundheit	Exekutive|Gesundheit|Gesundheit|Politik der Zusammenarbeit|öffentliche Verwaltung|öffentlicher Dienst
2021-01-14	Strafrecht|Strafrecht|Arbeitslosenversicherung|Gesundheit|Tourismus|Wirtschaft|Gesundheit|Vereinsleben|Versammlungsfreiheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Statistik|Exekutive|Gesundheit|Sozialpolitik|Gesundheit	Gesundheit|soziale Sicherheit|Gesundheit|Gesundheit	Strafrecht|Strafrecht|Presse|Vereinsleben|Versammlungsfreiheit	Strafrecht|Strafrecht|Gesundheit|soziale Sicherheit|Gesundheit|Kulturpolitik|Kunst|Gesundheit|soziale Sicherheit|Gesundheit|Kulturpolitik|Kunst|Gesundheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Steuerwesen	Gesundheit|soziale Sicherheit|Gesundheit|Gesundheit
2021-01-20	Gesundheit|soziale Sicherheit|Behinderter|Internet|Menschenrechte|Gesundheit|soziale Sicherheit|Gesundheit|Wohnungspolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Frau|Gleichbehandlung|Menschenrechte|Gesundheit|Gesundheit|Wohnungspolitik|Exekutive|Gesundheit|Sozialpolitik|Gesundheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Religion|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Arbeitslosenversicherung|Gesundheit|Behinderter|Beschäftigung und Arbeitsbedingungen|Gesundheit|Arbeitsrecht|Frau|Gesundheit|Gleichbehandlung|Frau|Gleichbehandlung|Menschenrechte|Altersversorgungssystem|Gesundheit|Gesundheit|Kulturpolitik|Kunst|Gesundheit|Steuerwesen|Gesundheit|Politische Partei|Gesundheit	Gesundheit|Parlamentsdebatte|Wirtschaft|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Behinderter|Gesundheit|Land- und Forstwirtschaft, Fischerei|Frau|Gleichbehandlung|Menschenrechte|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Land- und Forstwirtschaft, Fischerei|Arbeitsrecht|Gesundheit|Steuerwesen|Bildung|Haushaltskontrolle|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Politische Partei|Gesundheit|Menschenrechte|Europäische Union|Menschenrechte|Finanzausgleich|Steuerwesen|Finanzausgleich|Gesundheit|Haushaltskontrolle|soziale Sicherheit|Flüchtling|junger Mensch	Bildung|junger Mensch|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Gesundheit|Tourismus|Familienleistungsausgleich|Gesundheit|Behinderter|Behinderter|Internet|Arbeitslosenversicherung|Gesundheit|Frau|Gleichbehandlung|Frau|Gleichbehandlung|Menschenrechte|Gesundheit|Zivilschutz|Gesundheit|Zivilschutz|Gesundheit|soziale Sicherheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Gesundheit|Finanzwesen|Gesundheit|Gesundheit|Zivilschutz	Arbeitslosenversicherung|Gesundheit|Behinderter|Beschäftigung und Arbeitsbedingungen|Gesundheit|Arbeitsrecht|Frau|Gesundheit|Gleichbehandlung|Frau|Gleichbehandlung|Menschenrechte|Altersversorgungssystem|Gesundheit|Gesundheit|Kulturpolitik|Kunst|Gesundheit|Steuerwesen|Gesundheit|Politische Partei|Gesundheit
